CATCHMENT,BaselineLoss,S1_min,S2_min,S3a_min,S3b_min,S4_min,S1_typ,S2_typ,S3a_typ,S3b_typ,S4_typ,S1_Max,S2_Max,S3a_Max,S3b_max,S4_Max
ARUN AND WESTERN ROTHER,4096.603143,0.006638572,0.019298241,0.077544078,0.088806776,0.222196667,0.041074096,0.095591215,0.229366382,0.329618087,0.576901165,0.117411842,0.256436429,0.444046622,0.674794981,0.858487863
BASSENTHWAITE LAKE,14893.25933,0.018937623,0.029148009,0.071360247,0.085899659,0.210904484,0.064443172,0.102156662,0.232354518,0.341139079,0.564886022,0.16047364,0.255160593,0.468432352,0.70078596,0.852580341
"BURE, ANT AND MUCKFLEET",695.2377069,0.00929189,0.013289421,0.092287223,0.103133129,0.221964069,0.098580593,0.122831681,0.281489789,0.389489398,0.602188191,0.271249343,0.335813734,0.531876852,0.75166176,0.876171025
CAM & GRANTA,342.325002,-0.006820208,0.003853135,0.103025971,0.110083927,0.215248099,0.004578231,0.078026779,0.296397516,0.3953904,0.594363156,0.030496458,0.228591948,0.532655954,0.748272603,0.876334703
COTSWOLDS,3469.653251,0.003618477,0.011511634,0.094342635,0.106467028,0.231086616,0.016416445,0.056826848,0.254187902,0.366770786,0.591905926,0.042894377,0.152865598,0.466250082,0.710315173,0.866213159
Cound Brook,2575.828002,0.001065089,0.015096176,0.073615881,0.087734536,0.225389986,0.002426995,0.066872893,0.223883306,0.331362328,0.580118892,0.004523737,0.173761485,0.438319367,0.676660393,0.860563926
"DEBEN, ALDE AND ORE",947.9986989,0.006281222,0.01337869,0.10068922,0.109429634,0.220098766,0.06542519,0.113212206,0.290339697,0.393934495,0.597694323,0.189810873,0.31742204,0.531819734,0.75041009,0.874398732
DORSET STOUR,20827.65208,0.009957433,0.026211283,0.066099746,0.081265623,0.226925821,0.038288772,0.100099871,0.208234349,0.314680184,0.577647498,0.098583633,0.252695646,0.417998981,0.657574609,0.858534156
Downs & Harbours Clean Water Partnership,1762.421772,0.00031299,0.014026382,0.071970511,0.08682027,0.227896204,0.001028865,0.063483783,0.219254862,0.327931899,0.582108332,0.002380448,0.165582873,0.430687549,0.671562877,0.861614797
EAST RIDING OF YORKSHIRE,2201.509227,0.007221423,0.015044989,0.095880432,0.106578427,0.22310579,0.042835079,0.092826793,0.278727723,0.386234136,0.597881672,0.129368878,0.262806243,0.515144015,0.74073182,0.874196908
EAST ROTHER AND WALLAND MARSH,7823.537109,0.008159208,0.02195451,0.081317239,0.092363106,0.224651838,0.042301894,0.099792462,0.233762272,0.335622956,0.578976791,0.114557905,0.260423702,0.447494334,0.679781106,0.857931062
EGFORD BOREHOLE,40.01985283,0,0.014877539,0.106517853,0.121169383,0.242648066,0,0.072856096,0.267268436,0.395990258,0.60742066,0,0.194533879,0.474986569,0.738657108,0.873274207
