CATCHMENT,BaselineLoss,S1_min,S2_min,S3a_min,S3b_min,S4_min,S1_typ,S2_typ,S3a_typ,S3b_typ,S4_typ,S1_Max,S2_Max,S3a_Max,S3b_max,S4_Max
ARUN AND WESTERN ROTHER,445548.0227,-0.013719458,-0.008187078,0.085795348,0.102277396,0.292928028,0.030896983,0.075080004,0.273297993,0.37750108,0.637612124,0.115339854,0.240947608,0.520321779,0.718764955,0.888173466
BASSENTHWAITE LAKE,365136.5373,0.005340593,0.012092214,0.104720276,0.116669291,0.270225151,0.029888589,0.065059971,0.292583395,0.380778088,0.604987276,0.086074995,0.184293304,0.560489166,0.727416326,0.869985182
"BURE, ANT AND MUCKFLEET",357802.9313,0.017993917,0.01943352,0.093395062,0.109637766,0.293765217,0.131515127,0.153132873,0.321906089,0.417568887,0.656950953,0.337097281,0.399188253,0.606318252,0.772972607,0.90336004
CAM & GRANTA,159824.9313,-0.017785008,-0.012570324,0.114071576,0.135457814,0.305865797,0.003558615,0.075717885,0.343626806,0.451851915,0.669857392,0.042644331,0.250231091,0.620344038,0.796267524,0.912474824
COTSWOLDS,843580.4255,-0.001269076,0.00188201,0.100307834,0.123265419,0.29978525,0.013536355,0.049379978,0.300467368,0.420980947,0.654229364,0.051722192,0.164135328,0.548266277,0.764121896,0.898939552
Cound Brook,153524.8772,0.004828958,0.010377417,0.089796183,0.108246936,0.293795391,0.022880994,0.072594095,0.279832044,0.389643743,0.641812026,0.058084896,0.209635818,0.526860386,0.732363257,0.891639052
"DEBEN, ALDE AND ORE",270022.0868,-0.013960646,-0.011874612,0.099714952,0.116494184,0.297269321,0.087780108,0.112324697,0.332198203,0.427926677,0.660781328,0.282610561,0.352809547,0.618540261,0.78038261,0.905670282
DORSET STOUR,949667.3501,0.006726333,0.014024743,0.076180434,0.090035071,0.29193931,0.032369421,0.083612031,0.25239804,0.352321659,0.632740245,0.092384905,0.236822124,0.493620624,0.691517076,0.885829819
Downs & Harbours Clean Water Partnership,174278.5743,0.001454304,0.006690843,0.085943502,0.103688213,0.295326238,0.004375672,0.061382313,0.271989144,0.380801911,0.642241303,0.009606964,0.187117787,0.51605524,0.722214914,0.892055662
EAST RIDING OF YORKSHIRE,423250.9343,0.001274381,0.005613226,0.102487304,0.123067073,0.301141594,0.028859235,0.083738062,0.318928319,0.429170778,0.66010019,0.099661855,0.257995338,0.584283872,0.775699049,0.903356511
EAST ROTHER AND WALLAND MARSH,627007.5213,0.004125549,0.008460092,0.092684634,0.111972163,0.295109895,0.067927872,0.105949063,0.292400183,0.402291956,0.647360214,0.2083993,0.317199203,0.546309147,0.747601127,0.895273684
EGFORD BOREHOLE,10550.55566,0,0.003876253,0.09377726,0.119356755,0.297603698,0,0.060546013,0.284209159,0.415884842,0.652242344,0,0.194116236,0.518953455,0.762096687,0.896591399
GIPPING AND ORWELL,245697.8766,0.00751076,0.009974422,0.110281708,0.130545124,0.303690624,0.105383116,0.13411685,0.341063591,0.446468761,0.667467592,0.291181884,0.373938144,0.620243644,0.793762503,0.909712479
HAMPSHIRE AVON,1088909.922,0.022903514,0.026965559,0.088689688,0.106426871,0.295292954,0.12087777,0.156565286,0.27724062,0.385030064,0.641054561,0.287698643,0.390050152,0.522525096,0.725357415,0.889999451
Isle of Wight,242108.7411,0,0.005919488,0.087417844,0.102100361,0.29380322,0,0.063944576,0.285458341,0.381951342,0.64242103,0,0.196490042,0.545467154,0.724839297,0.893510537
LINCOLNSHIRE COAST RIVERS - ANGLIAN,803438.571,-0.002125815,0.002901851,0.105937611,0.12534778,0.298451413,0.028062428,0.101339087,0.331248404,0.434821177,0.660126863,0.093957877,0.30550118,0.608882164,0.783052293,0.905941177
LINCOLNSHIRE COAST RIVERS - HUMBER,278135.3927,0.005769645,0.011107816,0.105232099,0.127466105,0.301301926,0.028593267,0.09410971,0.323178579,0.437434849,0.663439845,0.081439676,0.27041482,0.590036332,0.786909645,0.907346003
LITTLE OUSE (THETFORD OUSE),799952.639,-0.005746025,-0.003049639,0.103887709,0.121720647,0.298960444,0.083769004,0.119656271,0.333872384,0.432609364,0.660814491,0.246529714,0.350179804,0.616422045,0.782393371,0.904992926
LOWER GREAT OUSE,769825.5519,0.000571497,0.004134835,0.111528152,0.133014578,0.30419091,0.016601465,0.078956706,0.338426374,0.447772559,0.66783817,0.055915135,0.253565482,0.613386515,0.794116389,0.910969732
LOWER LUNE,178203.1861,0.007693552,0.01662552,0.08196569,0.092053773,0.279440121,0.031349769,0.077209235,0.256658683,0.344844847,0.614183845,0.079377584,0.206247861,0.509443139,0.687410784,0.87556284
MIMMSHALL BROOK,49461.65731,0,0.004101025,0.109345889,0.129407071,0.305485499,0,0.073032156,0.327591372,0.434450419,0.664131665,0,0.233653984,0.596241348,0.775340276,0.908403998
NORTH NORFOLK RIVERS,359336.7288,-0.002345609,7.05169E-05,0.096613153,0.112892515,0.288384206,0.126006356,0.159404778,0.322887615,0.417355936,0.64917317,0.328221766,0.424306654,0.608401255,0.772057381,0.898861669
NORTH SOMERSET MOORS,235033.9101,0.00283253,0.009920598,0.070403022,0.081416734,0.290784077,0.022250216,0.069785034,0.244323544,0.337072423,0.628450142,0.074149104,0.207856,0.487071786,0.676479952,0.881943009
PEAK DISTRICT DALES,311985.9899,0.004157663,0.011597202,0.094602732,0.105751742,0.278062315,0.024701268,0.063095524,0.280847612,0.369085383,0.615581869,0.071271281,0.178306868,0.544718104,0.715025811,0.876492706
PEVENSEY,136468.5226,0.016883977,0.022306908,0.077197155,0.091351771,0.287556441,0.070766675,0.10782156,0.250757017,0.350917113,0.624202366,0.173602368,0.278421593,0.488825615,0.689179992,0.878454541
RIVER BEULT,304546.3383,0.007128279,0.012671977,0.101768553,0.120373398,0.293586783,0.055645717,0.105722364,0.312542793,0.416285301,0.647891073,0.159152981,0.302342821,0.580806223,0.763352509,0.896505306
RIVER BLYTH AND SURROUNDING SSSIs,201461.335,0.007991716,0.010958085,0.106999043,0.126745477,0.302349776,0.07806561,0.113393374,0.329636722,0.43563996,0.660900224,0.219305963,0.320815342,0.601240968,0.781523828,0.902620117
RIVER CAMEL VALLEY AND TRIBUTARIES,328291.9942,0.006725042,0.011857172,0.080719949,0.093802659,0.286762768,0.057540828,0.092412286,0.25800418,0.354785957,0.625776635,0.158427139,0.256863778,0.504278806,0.695604114,0.881925134
River Dane,46167.07718,-1.23672E-05,0.009992012,0.106708079,0.117635804,0.268243223,0.000615942,0.051370936,0.296167055,0.380749091,0.602421847,0.002519862,0.145983784,0.568649159,0.728112617,0.869037199
