CATCHMENT,BaselineLoss,S1_min,S2_min,S3a_min,S3b_min,S4_min,S1_typ,S2_typ,S3a_typ,S3b_typ,S4_typ,S1_Max,S2_Max,S3a_Max,S3b_max,S4_Max
ARUN AND WESTERN ROTHER,3164270.542,0.032367529,0.083402684,0.204029353,0.224680938,0.493622758,0.099914988,0.237680097,0.465942952,0.540354667,0.822383163,0.22096927,0.524414678,0.753625345,0.87212189,0.979369478
BASSENTHWAITE LAKE,7049945.178,0.006784573,0.04354262,0.200403179,0.21028759,0.448851078,0.026753104,0.129390335,0.481872212,0.519626,0.781041987,0.069696154,0.300613762,0.808806674,0.868199918,0.969514978
"BURE, ANT AND MUCKFLEET",477854.8303,0.13573878,0.161598505,0.223019119,0.246748391,0.484967265,0.31202397,0.37975234,0.50778737,0.582933747,0.824249289,0.575038963,0.720559878,0.795100757,0.909794505,0.981685934
CAM & GRANTA,277748.2338,0.013540953,0.07921996,0.242788769,0.265491002,0.508752286,0.047692489,0.22341345,0.51627063,0.596467817,0.837857739,0.119275362,0.503369188,0.787157195,0.910091896,0.984179227
COTSWOLDS,2236064.336,0.007064196,0.043674661,0.226616721,0.252783013,0.501593527,0.019835011,0.134407337,0.497408569,0.58379171,0.832510932,0.048703139,0.323649812,0.774489958,0.903326531,0.982265181
Cound Brook,1104030.734,0,0.048598488,0.194314809,0.214685973,0.489247598,0,0.153717707,0.451491654,0.524522391,0.816087663,0,0.364417924,0.741443201,0.858819941,0.977393953
"DEBEN, ALDE AND ORE",806513.0863,0.048558234,0.109107252,0.240640958,0.266043751,0.495152321,0.12104365,0.280318864,0.522157744,0.606300109,0.832006689,0.268899516,0.612935684,0.799314943,0.92433935,0.982407129
DORSET STOUR,7896226.793,0.011524998,0.073143528,0.165933139,0.184936122,0.481147563,0.032161781,0.198257625,0.410794673,0.481899787,0.806063679,0.076753978,0.443974202,0.708190562,0.827078652,0.973615526
Downs & Harbours Clean Water Partnership,1000012.676,0,0.048290089,0.18822526,0.208992526,0.491535343,1.95136E-05,0.154432396,0.439764766,0.516051244,0.8167587,7.67931E-05,0.366562352,0.727412825,0.851636324,0.977048483
EAST RIDING OF YORKSHIRE,2209576.081,0.02467335,0.084027752,0.22839412,0.254028383,0.496965618,0.072437332,0.228845017,0.503082426,0.587732611,0.830508452,0.179244982,0.518535434,0.781372465,0.908605303,0.981979494
EAST ROTHER AND WALLAND MARSH,5026741.763,0.052184493,0.09560613,0.198859084,0.220797607,0.48931459,0.153799388,0.270398483,0.461557802,0.536353379,0.819222862,0.339287428,0.595365909,0.753096301,0.869528563,0.978562618
EGFORD BOREHOLE,26042.7466,0,0.050643584,0.217874712,0.251173444,0.502580279,0,0.155934571,0.488758503,0.5889505,0.834753517,0,0.367274681,0.766389486,0.90922873,0.98309903
GIPPING AND ORWELL,1151724.74,0.120939896,0.145739145,0.244706752,0.26927671,0.502728588,0.27309339,0.3391024,0.525015446,0.608397327,0.836796134,0.535458865,0.679608611,0.797375042,0.923159342,0.984006836
HAMPSHIRE AVON,2329645.532,0.067843428,0.104759678,0.194739188,0.216551424,0.490258312,0.173666064,0.272888473,0.45209133,0.528251212,0.817840566,0.350750557,0.569014847,0.741358901,0.861439141,0.97765326
Isle of Wight,1454189.809,0,0.048338713,0.190863183,0.210811917,0.489909498,0,0.154932112,0.446243699,0.519166411,0.816772406,0,0.368500653,0.736955084,0.855315322,0.977447444
LINCOLNSHIRE COAST RIVERS - ANGLIAN,2971218.347,0.032492402,0.102043151,0.234388917,0.258959729,0.502439433,0.092811803,0.27724881,0.510679865,0.592588558,0.83461548,0.196682425,0.597077107,0.786929521,0.910988495,0.983786555
LINCOLNSHIRE COAST RIVERS - HUMBER,1332808.991,0.003704808,0.096535911,0.240397673,0.269523318,0.508714764,0.009021367,0.255460008,0.518362402,0.611996323,0.841665978,0.020752534,0.556676191,0.789189238,0.926572908,0.985506515
LITTLE OUSE (THETFORD OUSE),3200712.22,0.074809408,0.109858924,0.241942283,0.265231208,0.500696409,0.199399108,0.291865673,0.522889793,0.601977718,0.834815221,0.409249683,0.609153442,0.797841419,0.918519548,0.983920461
LOWER GREAT OUSE,2676060.465,0.013911513,0.059014184,0.247231281,0.272777052,0.509141831,0.043071319,0.180026476,0.525467898,0.612002496,0.841065686,0.101295496,0.426804261,0.794643174,0.924482638,0.985245816
LOWER LUNE,2528789.004,0.012532125,0.060369741,0.197248605,0.206574222,0.448831233,0.03456834,0.167537907,0.475984521,0.514321731,0.780440392,0.083939901,0.381808856,0.801406146,0.864646981,0.969194871
MIMMSHALL BROOK,482700.5026,0,0.05664001,0.241731356,0.264899606,0.509903621,0,0.173244573,0.51370096,0.596621737,0.8386501,0,0.412354533,0.782106675,0.910723318,0.984282229
NORTH NORFOLK RIVERS,840352.8852,0.13157588,0.165224626,0.224848075,0.247681567,0.489719922,0.297996011,0.385738068,0.509175881,0.584538407,0.828880843,0.529474851,0.716965452,0.798140284,0.91445017,0.983239655
NORTH SOMERSET MOORS,1584227.135,0.016897258,0.071433534,0.160196726,0.176584763,0.466075173,0.052953184,0.198180987,0.407982244,0.470772631,0.795405281,0.136219262,0.455090802,0.716053323,0.822371548,0.970371998
PEAK DISTRICT DALES,4331506.321,0.009560387,0.056929925,0.195379416,0.205662891,0.451746521,0.024182984,0.156659436,0.471497555,0.513029104,0.782535175,0.054401031,0.352130567,0.794358679,0.86276414,0.969586283
PEVENSEY,1230217.455,0.081950728,0.118118286,0.184091195,0.206288252,0.485569784,0.179234483,0.277138639,0.440572239,0.514389364,0.813645977,0.337198733,0.553899661,0.737665463,0.851825847,0.976680131
RIVER BEULT,4115127.543,0.03268472,0.080003396,0.216846555,0.239308861,0.488337826,0.109342819,0.236529214,0.492642223,0.571433658,0.82527702,0.25322162,0.533242038,0.778052815,0.899598263,0.979619138
RIVER BLYTH AND SURROUNDING SSSIs,1453089.381,0.046781269,0.093325651,0.231208154,0.25645329,0.498056671,0.128321308,0.251747827,0.507440319,0.591376003,0.831955519,0.288904361,0.556811696,0.785211221,0.910874267,0.982238393
RIVER CAMEL VALLEY AND TRIBUTARIES,1716082.529,0.038312121,0.082940707,0.175517801,0.192103241,0.47530147,0.091321493,0.21290245,0.428553978,0.490808956,0.801218249,0.185046545,0.454883233,0.732348557,0.835733178,0.973107962
River Dane,974103.4311,0,0.040879019,0.209796383,0.217174848,0.443323735,0,0.14211372,0.498618685,0.52948176,0.776634848,0,0.337292668,0.829418054,0.878465947,0.968897783
RIVER DUDDON,1391383.301,0.007714989,0.037742631,0.182808757,0.194273243,0.449783879,0.029118911,0.129177195,0.453895965,0.496993422,0.782591063,0.068565162,0.305557852,0.778789502,0.849084559,0.968991773
RIVER EDEN AND TRIBUTARIES,3598250.866,0.008397175,0.05947832,0.179630913,0.191773172,0.456414838,0.023240445,0.164792093,0.445233327,0.492679694,0.785764617,0.058428617,0.376130815,0.764894599,0.843810665,0.969560462
RIVER ESK AND NORTH YORKSHIRE COASTAL STREAMS,953516.4459,0.056387723,0.091073876,0.194307557,0.216554324,0.482128063,0.132782899,0.226888825,0.45695306,0.5315396,0.810672127,0.27366799,0.481788282,0.753664974,0.8679227,0.976076914
RIVER EXE,6998629.746,0.042565796,0.093141593,0.177753395,0.198345189,0.477165813,0.108044403,0.244713994,0.433440408,0.506513446,0.807886554,0.223548167,0.525436629,0.731480903,0.848687695,0.974142967
RIVER EYE,1411587.772,0.097554176,0.118012602,0.245523452,0.272786915,0.512507018,0.270923499,0.325973924,0.520247223,0.611385157,0.842557465,0.554293071,0.675210432,0.786964525,0.922221086,0.98528122
RIVER KEER,467234.6142,0.001555833,0.040846554,0.187745211,0.196804523,0.449208385,0.007571286,0.138835753,0.460968586,0.498085988,0.779332395,0.020509508,0.329916835,0.788217694,0.850167916,0.968629821
RIVER LEADON,940891.0987,0.022407428,0.086392321,0.201896955,0.225131896,0.476948335,0.068280469,0.239297411,0.484064356,0.562827654,0.821074257,0.158772553,0.532770678,0.781710318,0.902685431,0.978787982
RIVER LUGG,3236909.876,0.01910478,0.078218627,0.18677924,0.207495159,0.475099446,0.051458727,0.209309189,0.455594564,0.526864504,0.811949723,0.116901749,0.461990039,0.756322064,0.868538118,0.976003255
RIVER MEASE,539128.8549,0.006102119,0.071020552,0.220403627,0.246298157,0.49792265,0.021868075,0.195165552,0.493596755,0.577917186,0.830756894,0.06364856,0.441802586,0.774983112,0.902614491,0.98265793
RIVER NAR,313318.9917,0.167250807,0.180139529,0.199212334,0.219687179,0.454300155,0.365165831,0.399495474,0.486606682,0.557461391,0.806961374,0.645345492,0.720073846,0.801363554,0.910595173,0.975003774
River Nene,3231707.324,6.88123E-06,0.053193072,0.219264947,0.243311364,0.499246027,1.98823E-05,0.163435532,0.487113948,0.567854364,0.828859107,4.50295E-05,0.388168239,0.768338629,0.890333958,0.981226049
River Nidd,895506.9047,0.001633361,0.041303059,0.21381841,0.222574461,0.44550857,0.004944164,0.142649638,0.504047473,0.538401242,0.779110054,0.013149255,0.339950951,0.83225666,0.885279197,0.969599336
RIVER PERRY,803812.3641,0.006345366,0.070825477,0.165905763,0.183463335,0.479736771,0.022421141,0.196509329,0.411091488,0.478565114,0.804457785,0.057679114,0.443275029,0.709751763,0.82460245,0.973379635
"RIVER PIDDLE, RIVER FROME AND FLEET LAGOON",4235395.993,0.081695437,0.117756331,0.19187396,0.212407874,0.488430021,0.212468667,0.309360991,0.447846978,0.521675087,0.815873517,0.410870816,0.62376831,0.73857274,0.856943254,0.976998281
RIVER RIBBLE,10016950.72,0.015933464,0.075870036,0.187338261,0.203132315,0.469924401,0.046358977,0.206899694,0.452555181,0.512037766,0.801359103,0.113938976,0.465579535,0.759095626,0.857167161,0.973721352
RIVER RODEN,692324.7305,0.00368337,0.092347147,0.210283958,0.231786533,0.474864458,0.009541158,0.243800183,0.493631077,0.566814537,0.817465823,0.022723406,0.530004151,0.785480828,0.898876207,0.97757624
RIVER TEME,3059496.211,0.074071759,0.111543917,0.19593578,0.218041143,0.476128147,0.177977776,0.279472629,0.465250258,0.536702812,0.809274597,0.348023018,0.572319013,0.766476141,0.873234186,0.975684329
RIVER TERN,1535171.775,0.016506716,0.075779486,0.17890352,0.19821912,0.472650985,0.048649127,0.206691692,0.437630862,0.508020529,0.805576116,0.114650861,0.461878,0.736136999,0.851512409,0.973577985
RIVER WENSUM,1271408.179,0.129590231,0.166896877,0.222424696,0.244446282,0.489953341,0.27130226,0.370916536,0.508091959,0.584738584,0.831713878,0.469498727,0.686833159,0.800527237,0.919739471,0.98351204
RIVER WORFE,452979.3314,0.000167519,0.0978109,0.21684243,0.240619206,0.486786296,0.000628262,0.257707223,0.492796634,0.56934277,0.82235005,0.001513837,0.55754523,0.781385589,0.897322989,0.980371396
RIVER WYE,2075435.524,0.041319031,0.070857757,0.201157977,0.221995534,0.47103272,0.15820208,0.23799976,0.480927177,0.550935027,0.811638128,0.384680524,0.560457194,0.779849694,0.887838074,0.976177558
RIVER WYRE,11217777.51,0.033101629,0.069523328,0.168173659,0.183103564,0.465493064,0.086102664,0.185335595,0.422288926,0.480537379,0.792497031,0.202423763,0.423086878,0.732777272,0.83166962,0.970585355
RIVERS AXE AND OTTER,6982382.526,0.047180063,0.0866793,0.162494295,0.180787049,0.478774672,0.129598553,0.236599383,0.406170501,0.475173045,0.803600919,0.274223936,0.511112558,0.706151969,0.822235782,0.97289506
Rivers Chelmer and Blackwater,2922314.426,0.007361309,0.05479427,0.247200616,0.271915634,0.50715414,0.024016633,0.169196446,0.527356306,0.612084445,0.840406938,0.059860413,0.406474112,0.797719838,0.925602733,0.985034055
RIVERS KENT & LEVEN,4572029.845,0.000962828,0.049042239,0.219841504,0.225314003,0.4353186,0.007065932,0.143921242,0.519428236,0.542252959,0.771706382,0.024013305,0.334318439,0.857328384,0.890900244,0.96815081
RIVERS LAMBOURN AND KENNET,1939923.806,0.07994225,0.102192172,0.219984798,0.248031345,0.496291164,0.191973001,0.251760806,0.489849942,0.580900374,0.82918374,0.416030345,0.547350301,0.76890183,0.903716028,0.980854931
RIVERS MEDWAY & EDEN,4081880.545,0.0024608,0.081475969,0.195773008,0.21768424,0.490888422,0.006122342,0.218485223,0.454299866,0.530493067,0.818768448,0.012471445,0.479578363,0.743205089,0.863360189,0.978082928
RIVERS STOUR AND COLNE,2788465.447,0.014185587,0.080984103,0.254935309,0.280429076,0.514553463,0.058063631,0.239180266,0.532945759,0.620617058,0.844899519,0.153011857,0.552861451,0.797164528,0.928688788,0.98620314
RIVERS STRAT & NEET,1241978.689,0.029092009,0.075823993,0.165640192,0.181454601,0.439338445,0.083366608,0.207388999,0.432092203,0.48871632,0.781360945,0.176535108,0.448992793,0.755468486,0.845916814,0.966041888
RIVERS TEST AND ITCHEN,2311253.039,0.05162182,0.109857458,0.205776507,0.227244845,0.489541021,0.109285725,0.265562132,0.469519591,0.544800473,0.819888643,0.205353164,0.549154898,0.757581065,0.875200687,0.978322081
RIVERS WAVER AND WAMPOOL,1227772.662,0.052909673,0.088363652,0.153703784,0.17151824,0.473617044,0.121384773,0.217918909,0.395896906,0.464594347,0.799036908,0.254828713,0.469876127,0.698731707,0.815690212,0.971104577
"SEATON, EAST LOOE & FOWEY",1633169.883,0.019799262,0.072740586,0.175959298,0.197874226,0.481662781,0.050354561,0.194100552,0.429693159,0.503065932,0.8093351,0.113132959,0.432044451,0.729371392,0.844066006,0.975254925
Semerwater and Upper Lune,3919267.591,0.000531936,0.040566624,0.231205679,0.236404233,0.429405583,0.001663113,0.139149557,0.539095009,0.560307619,0.768822446,0.003329843,0.328458,0.879342535,0.908020074,0.96758712
SOMERSET LEVELS & MOORS,12948749.54,0.01211292,0.074713873,0.186411242,0.207603072,0.485549798,0.034145433,0.201385151,0.441746519,0.51783226,0.813998991,0.079219531,0.445969397,0.733143674,0.856032165,0.976341087
SOUTH DEVON (a),5469515.413,0.019715254,0.071678908,0.189687707,0.205703089,0.469288831,0.052768281,0.195174383,0.456079542,0.513255993,0.799203173,0.108989482,0.425585622,0.765394854,0.8565938,0.97347322
SOUTH DEVON (b),1606716.83,0.058233808,0.10070997,0.18806813,0.207619098,0.475125243,0.144505344,0.259510175,0.451449367,0.5173378,0.805064075,0.273465941,0.527306098,0.755622701,0.857924681,0.974781135
TAMAR - TAVY,8775453.957,0.031646993,0.078093237,0.196279805,0.21293623,0.464501111,0.090562659,0.215354849,0.466836919,0.527632347,0.797384085,0.206457102,0.481265484,0.774286472,0.870805876,0.972445779
"Taw, Torridge & North Devon Streams",4727357.558,0.001501574,0.045860343,0.200786632,0.219397295,0.480429218,0.004779704,0.148179913,0.466586951,0.534591084,0.810041055,0.011838767,0.352757204,0.762008302,0.870760665,0.975912767
The Leam,1090696.215,0.000710402,0.051119168,0.219365923,0.244569941,0.49706564,0.002101573,0.157308537,0.488306611,0.571496398,0.82805202,0.005098155,0.373428268,0.769912201,0.894520654,0.98095754
THE STOUR (including Isle of Thanet),1575168.278,0.043645612,0.103744629,0.224749159,0.253659034,0.503885587,0.104735528,0.265884226,0.496330016,0.589133466,0.83557788,0.23695982,0.590099095,0.772274437,0.909052068,0.983254122
"TWEED, ALN, COQUET AND COASTAL STREAMS",4714982.577,0.0234095,0.066597027,0.222029613,0.24351431,0.482465159,0.069628487,0.186923547,0.503312069,0.573184961,0.816441257,0.174005832,0.432465509,0.800969878,0.90356844,0.979074388
UPPER CHERWELL,1424086.828,0.033135709,0.078052131,0.209031032,0.231039747,0.493364115,0.094909561,0.214246575,0.475634194,0.551023438,0.823826507,0.239464597,0.499041025,0.763632157,0.880621461,0.980189571
Upper Great Ouse,5463086.214,0.002432243,0.050732136,0.215127186,0.238546343,0.496599406,0.006877965,0.157872799,0.482542655,0.562594213,0.827062721,0.017165909,0.377334168,0.765323708,0.887779508,0.980530975
