CATCHMENT,BaselineKg,S1_min,S2_min,S3a_min,S3b_min,S4_min,S1_typ,S2_typ,S3a_typ,S3b_typ,S4_typ,S1_max,S2_max,S3a_max,S3b_max,S4_max
ARUN AND WESTERN ROTHER,7879.093039,0.01801794,0.041621961,0.136172237,0.153699224,0.348919704,0.069274703,0.149389012,0.341320112,0.43558246,0.693976108,0.169904576,0.360057581,0.58287755,0.772621285,0.915687547
BASSENTHWAITE LAKE,23301.88655,0.013755715,0.029028325,0.104321258,0.117893946,0.285815053,0.055210985,0.107740531,0.305844412,0.39284765,0.635026827,0.145697581,0.273204556,0.573646212,0.750838722,0.889939593
"BURE, ANT AND MUCKFLEET",1290.699337,0.067979904,0.079298221,0.151204943,0.169372146,0.341796092,0.200272792,0.239893964,0.384210349,0.48331001,0.70587923,0.416074853,0.50952975,0.644008283,0.827389982,0.925045192
CAM & GRANTA,670.1925268,0.003059624,0.033052675,0.168782703,0.185880419,0.357014184,0.025630098,0.136573321,0.401254934,0.498429994,0.714244962,0.073933672,0.340257721,0.64463146,0.829856077,0.928916755
COTSWOLDS,6076.402571,0.005098494,0.019806509,0.148875141,0.168937443,0.344261014,0.020375483,0.082720153,0.355966918,0.463726946,0.694598275,0.05335467,0.216449813,0.587277479,0.794918236,0.915308809
Cound Brook,3982.395751,0.000688903,0.021743527,0.114250078,0.131789487,0.315249966,0.001712272,0.08985885,0.302565256,0.40253992,0.662264907,0.003385593,0.229452095,0.538259249,0.742955964,0.900890585
"DEBEN, ALDE AND ORE",1963.779892,0.025513058,0.053112091,0.170802251,0.19055524,0.361017135,0.092189027,0.185681239,0.407584793,0.509090892,0.720376566,0.225531895,0.443283574,0.657356806,0.84308299,0.93040716
DORSET STOUR,30550.61263,0.010082686,0.035608537,0.09653051,0.113809864,0.304253573,0.03718056,0.124010293,0.272097319,0.371147192,0.648755662,0.095236082,0.303169304,0.50551195,0.714075951,0.894152485
Downs & Harbours Clean Water Partnership,2958.299841,0.000186465,0.021823394,0.117144206,0.135712905,0.331004395,0.000743575,0.091010589,0.307170846,0.40795588,0.67585151,0.00185036,0.232613567,0.543332855,0.747241666,0.907377703
EAST RIDING OF YORKSHIRE,5051.550892,0.015730243,0.042026821,0.167956025,0.189507093,0.375035032,0.061126557,0.14993665,0.402165219,0.505260116,0.729626898,0.16578511,0.373492851,0.651510812,0.838238427,0.934656129
EAST ROTHER AND WALLAND MARSH,13994.2088,0.024850056,0.046916645,0.131212651,0.148692122,0.337321159,0.088068579,0.163799909,0.332334438,0.428365086,0.683435028,0.204397742,0.385240326,0.572500137,0.765877154,0.909995413
EGFORD BOREHOLE,66.52325735,0,0.022753604,0.148392254,0.172251401,0.342367859,0,0.095860859,0.351723081,0.475595419,0.69625015,0,0.247046228,0.578726722,0.807298977,0.915785431
GIPPING AND ORWELL,2766.707773,0.070105242,0.080879587,0.172386271,0.190670326,0.359480827,0.199083249,0.240055769,0.415939275,0.513302789,0.721483101,0.420374523,0.520009207,0.67120804,0.84950748,0.932224968
HAMPSHIRE AVON,7054.045701,0.03821315,0.053161957,0.117138148,0.134928113,0.318369435,0.121923578,0.173156292,0.30352127,0.404828603,0.664253459,0.270868758,0.393081194,0.535195155,0.742730788,0.900653757
Isle of Wight,4317.683199,0,0.02162259,0.118261573,0.135301424,0.327505496,0,0.091259365,0.307739905,0.403889529,0.671013332,0,0.235215102,0.542868361,0.742268708,0.904064461
LINCOLNSHIRE COAST RIVERS - ANGLIAN,7124.358279,0.01589748,0.049772739,0.168274116,0.188434609,0.370460914,0.064127991,0.180194471,0.400604767,0.502717099,0.725799806,0.152988419,0.425643641,0.646447026,0.834833246,0.933296567
LINCOLNSHIRE COAST RIVERS - HUMBER,2850.924717,0.003561622,0.040343728,0.184193326,0.208673535,0.393219744,0.017458073,0.142185708,0.426620113,0.537364975,0.748551261,0.054199227,0.345555958,0.671877024,0.865368135,0.943315824
LITTLE OUSE (THETFORD OUSE),7079.225775,0.041692502,0.058572268,0.17734772,0.196040836,0.375411576,0.153987953,0.212901042,0.424043976,0.518812076,0.734419658,0.341551955,0.480328394,0.679034263,0.85217465,0.93861675
LOWER GREAT OUSE,6768.357453,0.007384912,0.027458495,0.170378464,0.189103525,0.355344119,0.032950806,0.122354995,0.403984945,0.507333072,0.715593994,0.085578638,0.321798829,0.646961607,0.839598069,0.929345363
LOWER LUNE,11230.23066,0.015546118,0.035945385,0.095706238,0.10958744,0.271735801,0.05106948,0.122412398,0.289826167,0.380517832,0.622744623,0.120644605,0.294724018,0.553483112,0.739988744,0.884009079
MIMMSHALL BROOK,1414.011015,0,0.024785657,0.147724796,0.16707269,0.348002539,0,0.104097175,0.359936985,0.460373492,0.698472141,0,0.269580704,0.595293468,0.791805362,0.919145165
NORTH NORFOLK RIVERS,1969.473768,0.069184058,0.086049272,0.161882137,0.18039224,0.362942703,0.205761405,0.263388768,0.402851096,0.499062484,0.725294629,0.407592329,0.541765145,0.664828632,0.841970148,0.935253135
NORTH SOMERSET MOORS,4637.182145,0.012821889,0.03431992,0.103282365,0.118727567,0.311859654,0.044631973,0.11823357,0.292958103,0.38272086,0.658130191,0.117671261,0.293912441,0.545019039,0.73202779,0.898304069
PEAK DISTRICT DALES,20703.40751,0.015152541,0.033778774,0.092782618,0.107452301,0.270434525,0.048545343,0.11356351,0.281007534,0.375125864,0.621151348,0.117029862,0.275888664,0.538062491,0.732392341,0.882967533
PEVENSEY,3759.050295,0.043487536,0.061510607,0.117308285,0.134260115,0.320311883,0.112607227,0.1743657,0.303704245,0.400792718,0.663560955,0.224935102,0.373217233,0.536550542,0.738285144,0.899473905
RIVER BEULT,10744.49236,0.022794424,0.045169142,0.146029411,0.164580563,0.347850145,0.08367658,0.161331198,0.364008794,0.461381872,0.700018312,0.196631107,0.38213906,0.609523395,0.798884161,0.918656505
RIVER BLYTH AND SURROUNDING SSSIs,3664.53326,0.035982414,0.04987991,0.162965927,0.182708179,0.359884119,0.12272989,0.171105934,0.392071939,0.493350525,0.715084295,0.287881008,0.401836046,0.638491723,0.827107207,0.926888238
RIVER CAMEL VALLEY AND TRIBUTARIES,4223.481593,0.025049714,0.04392839,0.109451105,0.12572469,0.323145959,0.074946493,0.138200713,0.300583547,0.392614911,0.66582063,0.167384086,0.318388668,0.547903998,0.737826856,0.902889086
River Dane,4515.49578,0.000903791,0.022044028,0.096486749,0.109794806,0.264617847,0.002800542,0.090290144,0.293563139,0.383285802,0.616593084,0.007586384,0.229058621,0.561158143,0.744946603,0.881317827
RIVER DUDDON,3732.171902,0.00470166,0.018009473,0.105285344,0.117794467,0.295586404,0.022751594,0.078171758,0.306828645,0.387580744,0.644335357,0.0591084,0.200549539,0.575606389,0.744086596,0.892733955
RIVER EDEN AND TRIBUTARIES,15313.87251,0.010189496,0.028135962,0.094387762,0.109131859,0.280507042,0.041259089,0.103044426,0.281695024,0.374887765,0.628987671,0.110187751,0.26053828,0.536131518,0.729794604,0.886187495
RIVER ESK AND NORTH YORKSHIRE COASTAL STREAMS,4607.132891,0.041175783,0.053417701,0.102459063,0.120455244,0.285774685,0.122151917,0.165058749,0.28358038,0.390393615,0.636048108,0.267265679,0.371080917,0.520373265,0.736807107,0.888142034
RIVER EXE,17733.75761,0.033472187,0.055529709,0.117252908,0.135345695,0.330345604,0.095368004,0.168855834,0.313975635,0.410582624,0.676851166,0.203088895,0.377008001,0.559832203,0.753781097,0.907417533
RIVER EYE,3615.572517,0.057791008,0.067579913,0.169802978,0.19127135,0.366606037,0.199367134,0.233889948,0.394517715,0.502743121,0.719383461,0.439989956,0.522280217,0.628418157,0.829466493,0.92855151
RIVER KEER,1967.093536,0.005864228,0.020956624,0.09562047,0.108773326,0.272345285,0.024266513,0.085363353,0.286421332,0.3755189,0.621448914,0.066938934,0.221386706,0.54628986,0.732826023,0.882721986
RIVER LEADON,2151.806193,0.017596787,0.047944588,0.147891265,0.167482872,0.355853985,0.058397318,0.16162565,0.381326667,0.479684611,0.715601067,0.137949902,0.381712989,0.642225413,0.825908586,0.928426047
RIVER LUGG,8073.401481,0.015723963,0.042010517,0.131266554,0.148940285,0.340787552,0.049137095,0.137332262,0.342976123,0.43852829,0.692384712,0.118175875,0.325732725,0.592603258,0.781303447,0.916329248
RIVER MEASE,1384.419806,0.004248343,0.035585627,0.154038554,0.174996851,0.359143009,0.015909697,0.123620223,0.376316456,0.482263509,0.714020213,0.046207195,0.30085524,0.621382936,0.818220567,0.927344757
RIVER NAR,865.8119853,0.081104991,0.087140619,0.138768063,0.154391626,0.322715549,0.235602426,0.25715686,0.377912717,0.464812485,0.690836578,0.474624155,0.525981125,0.668031375,0.828887382,0.915331455
River Nene,8664.107923,2.42159E-05,0.024289605,0.151077244,0.169947632,0.351777107,8.75097E-05,0.103258608,0.363994509,0.465009376,0.700846417,0.000210466,0.269701574,0.600767987,0.796692602,0.919090407
River Nidd,4413.720177,0.001399393,0.021854477,0.095903822,0.110048443,0.261651756,0.005309974,0.090043614,0.289686381,0.383849019,0.614538658,0.013614741,0.228168842,0.552550567,0.744280369,0.88000974
RIVER PERRY,3120.003885,0.009946545,0.036546958,0.096743972,0.113093102,0.303343957,0.03243317,0.123126808,0.272779407,0.369271577,0.647416353,0.075915689,0.293734481,0.507064441,0.712539488,0.893475433
"RIVER PIDDLE, RIVER FROME AND FLEET LAGOON",9941.153399,0.06345884,0.079864116,0.128376399,0.146850649,0.347622482,0.184223168,0.238304131,0.328931132,0.424555177,0.690916834,0.370765908,0.498035055,0.57149454,0.762640005,0.91410488
RIVER RIBBLE,29889.08944,0.012181943,0.037035172,0.113431675,0.129295312,0.31775462,0.048789436,0.131850761,0.315008911,0.405527646,0.665641358,0.12959403,0.326615815,0.57200869,0.755474953,0.903708666
RIVER RODEN,2094.177158,0.001991066,0.038480654,0.133345853,0.15074784,0.326772214,0.007628299,0.130988827,0.349008226,0.445551256,0.684329021,0.02046491,0.309776541,0.595955718,0.787053041,0.913064169
RIVER TEME,8433.567372,0.045817435,0.062613435,0.125602963,0.143473233,0.318164855,0.13036584,0.188434142,0.32907968,0.429018508,0.668398054,0.270910767,0.410665134,0.5781313,0.773668664,0.903157867
RIVER TERN,4893.667816,0.010549884,0.03500421,0.112374751,0.129805522,0.319525191,0.039752915,0.123447014,0.309088457,0.405291157,0.669650395,0.098956613,0.299063795,0.557268137,0.751491128,0.905000154
RIVER WENSUM,2724.788318,0.076544349,0.096554318,0.168643095,0.187156617,0.376545567,0.200902159,0.26971693,0.419005525,0.512078369,0.73923488,0.379276778,0.541221057,0.687594269,0.858056374,0.941825339
RIVER WORFE,1066.973613,0.000405409,0.042285495,0.157204456,0.177045006,0.364004488,0.006860209,0.148995658,0.39019523,0.487831309,0.720705426,0.020244179,0.355026505,0.647505399,0.82656679,0.931672982
RIVER WYE,4487.312027,0.035416426,0.051427334,0.141352805,0.16001878,0.346153409,0.133893866,0.188312217,0.365020599,0.461370293,0.700528138,0.322444411,0.45180404,0.619663613,0.803734088,0.920573835
RIVER WYRE,39783.39259,0.020272867,0.034996973,0.097047903,0.113140902,0.301135271,0.077022203,0.12710804,0.28342052,0.377942131,0.647270559,0.196404285,0.316873862,0.533451466,0.728846331,0.894935554
RIVERS AXE AND OTTER,18841.99127,0.029418292,0.046037573,0.105979672,0.123474474,0.327671668,0.099409701,0.155483488,0.2928918,0.388311128,0.67053371,0.23153302,0.364990484,0.536094409,0.732420708,0.905120358
Rivers Chelmer and Blackwater,6984.84204,0.004541965,0.026967378,0.173636795,0.192058707,0.360756765,0.019481984,0.118974804,0.414435919,0.514057866,0.72215546,0.051770652,0.313699845,0.66273375,0.847481631,0.933242094
RIVERS KENT & LEVEN,12274.63811,0.000800827,0.026340642,0.109016911,0.120258661,0.277438737,0.009152856,0.098246734,0.322608043,0.401486934,0.629427417,0.031563749,0.249555496,0.604332821,0.764397482,0.888550409
RIVERS LAMBOURN AND KENNET,4597.696943,0.043993303,0.053803857,0.151782847,0.174439554,0.357518057,0.120176394,0.153267225,0.367955807,0.477117042,0.708444127,0.273580155,0.351823858,0.610631283,0.811741327,0.921509001
RIVERS MEDWAY & EDEN,12013.99826,0.002335234,0.037919299,0.124941578,0.143162915,0.332936348,0.006399304,0.126850198,0.320572714,0.420015894,0.679017565,0.013902622,0.29967188,0.557503796,0.757738385,0.908477558
RIVERS STOUR AND COLNE,6867.788959,0.008872887,0.037543424,0.177036926,0.195604957,0.36050469,0.046989532,0.154470141,0.412933582,0.515463101,0.719491996,0.132911084,0.393490772,0.652862627,0.844333945,0.930873294
